"hub","site","species","sex","bandNumber","bandCombo","encounterType","date","yearDate","bandYear"
"DC","ASSMCARMD1","SOSP","M","2261-38348","BU,W/A","resight-technician",2012-05-17,2012,2007
"DC","ASSMCARMD1","GRCA","U","2301-56537","O/A,W/O","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","GRCA","U","2301-56533","O/A,W/P","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","CACH","U","2510-03842","W,A/O","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","CARW","U","2341-29332","A,Y/BU","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","NOCA","M","2301-56536","A,BK/BU","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","NOCA","M","2301-56536","A,BK/BU","recap",2010-06-14,2010,2008
"DC","ASSMCARMD1","NOCA","M","2301-56535","G,A/G","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","NOCA","M","2301-56535","G,A/G","resight-technician",2014-07-17,2014,2008
"DC","ASSMCARMD1","NOCA","M","2301-56534","A,O/W","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","NOCA","M","2301-56534","A,O/W","resight-technician",2009-05-28,2009,2008
"DC","ASSMCARMD1","CARW","U","2341-29331","A,Y/BK","band",2008-07-21,2008,2008
"DC","ASSMCARMD1","CARW","U","2341-29331","A,Y/BK","recap",2009-05-28,2009,2008
"DC","ASSMCARMD1","AMRO","M","1202-99075","W/BK,A","band",2009-05-28,2009,2009
"DC","ASSMCARMD1","GRCA","M","2411-37708","A,PK/BK","band",2009-05-28,2009,2009
"DC","ASSMCARMD1","GRCA","M","2411-37709","BU/A,PK","band",2009-05-28,2009,2009
"DC","ASSMCARMD1","AMRO","F","1202-99076","P/A,O","band",2009-05-28,2009,2009
"DC","ASSMCARMD1","NOCA","F","2411-37710","O/R,A","band",2009-05-28,2009,2009
"DC","ASSMCARMD1","NOCA","F","2411-37710","O/R,A","recap",2010-06-14,2010,2009
"DC","ASSMCARMD1","NOCA","M","2421-11726","BU/A,W","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","GRCA","M","2421-11727","A/Y,W","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","AMRO","F","1272-43118","PK/Y,A","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","GRCA","M","2421-11729","R,A/W","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","NOCA","F","2421-11730","P/A,BU","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","AMRO","F","1272-43119","PK/G,A","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","AMRO","M","1272-43120","A/PK,BU","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","AMRO","M","1272-43117","PK/A,PK","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","AMRO","M","1272-43117","PK/A,PK","resight-technician",2015-05-02,2015,2010
"DC","ASSMCARMD1","GRCA","M","2421-11728","G/R,A","band",2010-06-14,2010,2010
"DC","ASSMCARMD1","GRCA","M","2421-11728","G/R,A","resight-participant",2012-05-08,2012,2010
"DC","ASSMCARMD1","GRCA","M","2421-11728","G/R,A","resight-participant",2012-07-17,2012,2010
"DC","ASSMCARMD1","NOCA","M","2421-11487","G/BU,A","band",2012-05-17,2012,2012
"DC","ASSMCARMD1","GRCA","M","2421-11488","BU,P/A","band",2012-05-17,2012,2012
"DC","ASSMCARMD1","AMRO","M","1292-64271","G/R,A","band",2012-05-17,2012,2012
"DC","ASSMCARMD1","AMRO","M","1292-64271","G/R,A","recap",2013-06-06,2013,2012
"DC","ASSMCARMD1","AMRO","M","1292-64271","G/R,A","resight-technician",2014-07-17,2014,2012
"DC","ASSMCARMD1","NOCA","F","2421-11486","A/BU,R","band",2012-05-17,2012,2012
"DC","ASSMCARMD1","NOCA","F","2421-11486","A/BU,R","resight-technician",2014-07-17,2014,2012
"DC","ASSMCARMD1","NOCA","M","2641-63634","A/BK,R","band",2013-06-06,2013,2013
"DC","ASSMCARMD1","NOCA","F","2641-63635","G/A,BK","band",2013-06-06,2013,2013
"DC","ASSMCARMD1","CACH","U","2590-82167","P/W,A","band",2013-06-06,2013,2013
"DC","ASSMCARMD1","SOSP","M","2441-96528","A/PK,R","band",2013-06-06,2013,2013
"DC","ASSMCARMD1","AMRO","F","1292-64556","BK,P/A","band",2014-07-17,2014,2014
"DC","ASSMCARMD1","GRCA","F","2641-63867","A,G/PK","band",2014-07-17,2014,2014
"DC","ASSMCARMD1","CARW","U","2341-30150","W,A/G","band",2014-07-17,2014,2014
"DC","ASSMCARMD1","SOSP","M","2341-30151","A/W,P","band",2014-07-17,2014,2014
"DC","ASSMCARMD1","GRCA","U","2641-63868","BK,O/A","band",2014-07-17,2014,2014
"DC","ASSMCARMD1","NOCA","M","2421-11344","PK,BU/A","band",2015-05-02,2015,2015
"DC","BAILEESVA1","NOCA","M","2561-56884","P/G,A","band",2014-04-01,2014,2014
"DC","BAILEESVA1","NOCA","M","2561-56885","A,W/PK","band",2014-04-01,2014,2014
"DC","BAILEESVA1","NOCA","M","2561-56885","A,W/PK","recap",2015-04-15,2015,2014
"DC","BAILEESVA1","AMRO","F","1272-43186","G/O,A","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43187","P,A/R","band",2014-04-28,2014,2014
"DC","BAILEESVA1","GRCA","M","2561-56898","A,O/PK","band",2014-04-28,2014,2014
"DC","BAILEESVA1","GRCA","U","2561-56899","A,PK/BK","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43188","BU/A,R","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43188","BU/A,R","band",2014-05-06,2014,2014
"DC","BAILEESVA1","SOSP","M","257-19017","G/O,A","band",2014-04-28,2014,2014
"DC","BAILEESVA1","SOSP","U","2571-90171","BK,A","band",2014-04-28,2014,2014
"DC","BAILEESVA1","NOCA","M","2561-56900","A,Y/P","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1472-43188","BU/A,R","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1472-43188","BU/A,R","resight-technician",2015-04-15,2015,2014
"DC","BAILEESVA1","AMRO","M","1272-43189","A,Y/R","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43189","A,Y/R","resight-technician",2015-04-27,2015,2014
"DC","BAILEESVA1","SOSP","F","2571-90174","A,BU/R","band",2014-05-01,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43190","A,Y/R","band",2014-05-01,2014,2014
"DC","BAILEESVA1","GRCA","M","2421-11910","A,P/R","band",2014-05-01,2014,2014
"DC","BAILEESVA1","NOCA","F","2421-11911","A,P/Y","band",2014-05-01,2014,2014
"DC","BAILEESVA1","GRCA","U","2421-11912","G/P,A","band",2014-05-01,2014,2014
"DC","BAILEESVA1","AMRO","F","1272-43192","A/BK,G","band",2014-05-01,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43193","A,P/O","band",2014-05-02,2014,2014
"DC","BAILEESVA1","GRCA","M","2421-11913","A,Y/BU","band",2014-05-02,2014,2014
"DC","BAILEESVA1","GRCA","U","2421-11916","P,R/A","band",2014-05-02,2014,2014
"DC","BAILEESVA1","GRCA","U","2421-11915","A,BU/R","band",2014-05-02,2014,2014
"DC","BAILEESVA1","CACH","F","2710-53930","A/G,BU","band",2014-05-02,2014,2014
"DC","BAILEESVA1","GRCA","U","2421-11914","A/PK,W","band",2014-05-02,2014,2014
"DC","BAILEESVA1","AMRO","F","1272-43194","R/G,A","band",2014-05-06,2014,2014
"DC","BAILEESVA1","AMRO","M","1272-43195","O,A/BU","band",2014-05-06,2014,2014
"DC","BAILEESVA1","GRCA","U","2421-11920","R,Y/A","band",2014-05-06,2014,2014
"DC","BAILEESVA1","AMRO","U","1272-43188","BU/A,R","band",2014-04-28,2014,2014
"DC","BAILEESVA1","AMRO","U","1272-43188","BU/A,R","band",2014-05-06,2014,2014
"DC","BAILEESVA1","GRCA","F","2421-11946","A,Y/BU","band",2014-05-27,2014,2014
"DC","BAILEESVA1","CACH","M","2710-53940","A/P,P","band",2014-05-27,2014,2014
"DC","BAILEESVA1","CACH","M","2710-53940","A/P,P","resight-technician",2015-04-29,2015,2014
"DC","BAILEESVA1","GRCA","U","2421-11947","O/A,W","band",2014-05-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1292-64535","A,Y/R","band",2014-05-28,2014,2014
"DC","BAILEESVA1","AMRO","F","1292-64536","W/A,Y","band",2014-05-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1292-64537","P,BU/A","band",2014-05-28,2014,2014
"DC","BAILEESVA1","AMRO","M","1292-64537","P,BU/A","resight-technician",2015-04-27,2015,2014
"DC","BAILEESVA1","CARW","U","2571-90199","O/BK,A","band",2014-06-02,2014,2014
"DC","BAILEESVA1","GRCA","M","2421-11949","BK,R/A","band",2014-06-02,2014,2014
"DC","BAILEESVA1","NOCA","M","2421-11950","R/P,A","band",2014-06-02,2014,2014
"DC","BAILEESVA1","AMRO","F","1352-46599","W/BK,A","band",2015-04-15,2015,2015
"DC","BAILEESVA1","CACH","M","2710-54398","A/R,BU","band",2015-04-15,2015,2015
"DC","BAILEESVA1","NOCA","F","2641-96899","O/W,A","band",2015-04-15,2015,2015
"DC","BAILEESVA1","NOCA","F","2641-96898","PK,P/A","band",2015-04-15,2015,2015
"DC","BAILEESVA1","NOCA","F","2641-96890","PK,A/W","band",2015-04-27,2015,2015
"DC","BAILEESVA1","AMRO","F","1352-46543","A/P,PK","band",2015-04-28,2015,2015
"DC","BAILEESVA1","HOWR","U","2710-54388","G/W,A","band",2015-04-29,2015,2015
"DC","BAILEESVA1","GRCA","U","2641-96884","A,G/R","band",2015-05-05,2015,2015
"DC","BAILEESVA1","NOCA","F","2641-96883","PK,A/O","band",2015-05-05,2015,2015
"DC","BAILEESVA1","GRCA","U","2641-96879","O/A,G","band",2015-05-07,2015,2015
"DC","BAILEESVA1","GRCA","U","2641-96878","Y/BK,A","band",2015-05-07,2015,2015
"DC","BAILEESVA1","AMRO","F","1352-46589","PK/W,A","band",2015-05-07,2015,2015
"DC","BAILUESVA1","AMRO","M","1352-46571","A,G/PK","band",2015-06-15,2015,2015
"DC","BAILUESVA1","CARW","U","2571-89986","Y/A,R","band",2015-06-15,2015,2015
"DC","BAILUESVA1","GRCA","F","2641-96853","G/A,R","band",2015-06-15,2015,2015
"DC","BAILUESVA1","CACH","U","2750-64301","A,P/BK","band",2015-06-15,2015,2015
"DC","BAINANDMD1","HOWR","M","2250-24243","G/A,G","band",2001-06-01,2001,2001
"DC","BAINANDMD1","SOSP","M","1721-48573","R/AG","band",2002-06-17,2002,2002
"DC","BAINANDMD1","HOWR","M","2250-24341","BU,A/Y","band",2002-07-17,2002,2002
"DC","BAINANDMD1","GRCA","M","1801-09579","G/Y,A","band",2003-05-27,2003,2003
"DC","BAINANDMD1","HOWR","F","2250-90398","A/R,O","band",2003-05-27,2003,2003
"DC","BAINANDMD1","HOWR","F","2370-06070","A/G,O","band",2004-07-16,2004,2004
"DC","BAINANDMD1","GRCA","M","1951-20961","BK/W,A","band",2004-07-20,2004,2004
"DC","BAINANDMD1","CARW","F","1901-20596","A,G/P","band",2004-07-20,2004,2004
"DC","BAINANDMD1","NOCA","M","1951-41243","G/P,A","band",2005-05-05,2005,2005
"DC","BAINANDMD1","SOSP","M","2241-17602","A,G/P","band",2005-05-05,2005,2005
"DC","BAINANDMD1","GRCA","M","1951-41079","R/ABU","band",2007-06-04,2007,2007
"DC","BAINANDMD1","HOWR","M","2400-00698","A/W,P","band",2007-06-04,2007,2007
"DC","BAINANDMD1","HOWR","M","2400-00698","A/W,P","recap",2008-06-30,2008,2007
"DC","BAINANDMD1","SOSP","M","2281-69402","A,BK/BU","band",2007-06-04,2007,2007
"DC","BAINANDMD1","SOSP","M","2281-69402","A,BK/BU","recap",2008-06-30,2008,2007
"DC","BAINANDMD1","SOSP","M","2281-69402","A,BK/BU","recap",2009-06-15,2009,2007
"DC","BAINANDMD1","AMRO","F","1272-43011","BK/A,R","band",2008-06-30,2008,2008
"DC","BAINANDMD1","NOCA","U","2301-56550","A,BU/G","band",2008-06-30,2008,2008
"DC","BAINANDMD1","SOSP","F","2341-29317","Y,BK/A","band",2008-06-30,2008,2008
"DC","BAINANDMD1","SOSP","F","2341-29317","Y,BK/A","recap",2009-06-15,2009,2008
"DC","BAINANDMD1","GRCA","M","2411-37120","A,BU/PK","band",2009-06-15,2009,2009
"DC","BAINANDMD1","AMRO","M","1292-64507","PK/BU,A","band",2009-06-15,2009,2009
"DC","BAINANDMD1","CACH","F","2590-82218","PK,A/P","band",2009-06-15,2009,2009
"DC","BAINANDMD1","CACH","F","2590-82219","O/PK,A","band",2009-06-15,2009,2009
"DC","BAINANDMD1","NOCA","M","2411-37119","W/A,BK","band",2009-06-15,2009,2009
"DC","BAINANDMD1","NOCA","M","2411-37119","W/A,BK","resight-technician",2010-05-20,2010,2009
"DC","BAINANDMD1","NOMO","F","1292-64239","A,Y/O","band",2010-05-20,2010,2010
"DC","BAINANDMD1","SOSP","M","2441-14057","A/W,PK","band",2010-05-20,2010,2010
"DC","BAINANDMD1","GRCA","M","2301-56980","O,Y/A","band",2010-05-20,2010,2010
"DC","BAINANDMD1","GRCA","M","2301-56980","O,Y/A","resight-technician",2013-07-02,2013,2010
"DC","BAINANDMD1","GRCA","M","2301-56981","P/A,BK","band",2010-05-20,2010,2010
"DC","BAINANDMD1","GRCA","M","2301-56981","P/A,BK","resight-technician",2012-05-22,2012,2010
"DC","BAINANDMD1","SOSP","M","2441-14058","BU,A/Y","band",2010-05-20,2010,2010
"DC","BAINANDMD1","SOSP","M","2441-14058","BU,A/Y","resight-technician",2013-07-02,2013,2010
"DC","BAINANDMD1","AMRO","M","1292-64240","A/W,BU","band",2010-05-20,2010,2010
"DC","BAINANDMD1","AMRO","M","1292-64240","A/W,BU","recap",2012-05-22,2012,2010
"DC","BAINANDMD1","GRCA","F","2421-11499","G,G/A","band",2012-05-22,2012,2012
"DC","BAINANDMD1","HOWR","F","2590-83050","R/AG","band",2012-05-22,2012,2012
"DC","BAINANDMD1","GRCA","M","2421-11500","W/A,P","band",2012-05-22,2012,2012
"DC","BAINANDMD1","AMRO","F","1292-64274","A/W,PK","band",2012-05-22,2012,2012
"DC","BAINANDMD1","NOMO","U","1292-64275","R,BU/A","band",2012-05-22,2012,2012
"DC","BAINANDMD1","HOWR","U","2590-83051","Y/A,R","band",2012-05-22,2012,2012
"DC","BAINANDMD1","AMRO","F","1342-74084","Y,A","band",2013-07-02,2013,2013
"DC","BAINANDMD1","HOWR","M","2590-82185","BU,BK/A","band",2013-07-02,2013,2013
"DC","BAINANDMD1","GRCA","F","2641-63660","R/AY","band",2013-07-02,2013,2013
"DC","BAKEKYLDC1","GRCA","M","1801-77824","A/R,Y","band",2003-06-14,2003,2003
"DC","BAKEKYLDC1","GRCA","F","1801-77825","W,A/BK","band",2003-06-14,2003,2003
"DC","BAKEKYLDC1","NOCA","M","1801-77826","Y,BK/A","band",2003-06-14,2003,2003
"DC","BAKEKYLDC1","SOSP","M","4501-87418","A,G/W","band",2003-06-14,2003,2003
"DC","BAKEKYLDC1","SOSP","M","4501-87418","A,G/W","resight-technician",2004-06-18,2004,2003
"DC","BAKEKYLDC1","NOCA","F","1841-58607","BK/A,BU","band",2003-06-23,2003,2003
"DC","BAKEKYLDC1","AMRO","M","742-29780","BU,A","band",2004-06-18,2004,2004
"DC","BAKEKYLDC1","GRCA","F","1841-58867","R/BK,A","band",2004-06-18,2004,2004
"DC","BALAELEMD1","NOCA","M","8081-54600","W,A/P","band",2000-07-12,2000,2000
"DC","BALAELEMD1","HOWR","M","2250-24208","BK,Y/A","band",2001-05-01,2001,2001
"DC","BALAELEMD1","CACH","M","2250-24209","O,A/W","band",2001-05-01,2001,2001
"DC","BALAELEMD1","SOSP","M","1141-05787","A/BU,R","band",2001-05-01,2001,2001
"DC","BALAELEMD1","NOCA","F","791-17028","O,A/BK","band",2001-05-01,2001,2001
"DC","BALAELEMD1","CACH","F","2250-24211","G/A,G","band",2001-05-01,2001,2001
"DC","BALAELEMD1","CACH","M","2250-24207","A,BU/G","band",2001-05-01,2001,2001
"DC","BALAELEMD1","CACH","M","2250-24207","A,BU/G","resight-technician",2002-07-10,2002,2001
"DC","BALAELEMD1","CACH","M","2250-24207","A,BU/G","recap",2002-09-23,2002,2001
"DC","BALAELEMD1","CACH","M","2250-24207","A,BU/G","recap",2004-06-11,2004,2001
"DC","BALAELEMD1","CACH","U","2250-24210","R,A/O","band",2001-05-01,2001,2001
"DC","BALAELEMD1","CACH","U","2250-24210","R,A/O","resight-technician",2002-07-10,2002,2001
"DC","BALAELEMD1","CARW","U","1811-58525","BK/O,A","band",2002-07-30,2002,2002
"DC","BALAELEMD1","CARW","F","1811-58527","A,P/R","band",2002-07-30,2002,2002
"DC","BALAELEMD1","CARW","F","1811-58528","A/Y,W","band",2002-07-30,2002,2002
"DC","BALAELEMD1","CARW","U","1811-58718","W,A/Y","band",2002-07-30,2002,2002
"DC","BALAELEMD1","CACH","U","2250-90479","A/BK,W","band",2002-07-30,2002,2002
"DC","BALAELEMD1","GRCA","U","8001-21366","W,A/O","band",2002-09-23,2002,2002
"DC","BALAELEMD1","NOCA","U","8001-21367","R/Y,A","band",2002-09-23,2002,2002
"DC","BALAELEMD1","CACH","U","2250-24397","R,A/BU","band",2002-09-23,2002,2002
"DC","BALAELEMD1","CARW","U","4501-87457","A/R,O","band",2004-06-11,2004,2004
"DC","BALAELEMD1","NOCA","M","962-47843","A,W/BU","band",2004-06-11,2004,2004
"DC","BALAELEMD1","HOWR","M","2400-00659","A,R/R","band",2005-06-28,2005,2005
"DC","BALAELEMD1","CARW","M","2241-18008","A/P,BU","band",2005-06-28,2005,2005
"DC","BALAELEMD1","HOWR","M","2460-22916","BU/A,G","band",2007-06-23,2007,2007
"DC","BALAELEMD1","CACH","F","2540-62801","A/Y,Y","band",2008-05-29,2008,2008
"DC","BALAELEMD1","SOSP","M","2281-69464","PK,A/G","band",2008-05-29,2008,2008
"DC","BALAELEMD1","HOWR","M","2540-62802","O,G/A","band",2008-05-29,2008,2008
"DC","BALAELEMD1","HOWR","M","2540-62802","O,G/A","recap",2009-05-21,2009,2008
"DC","BALAELEMD1","HOWR","F","2590-82401","Y,Y/A","band",2009-05-21,2009,2009
"DC","BALAELEMD1","NOCA","M","2411-37301","Y,R/A","band",2009-05-21,2009,2009
"DC","BALAELEMD1","CARW","F","2441-14101","A,R/W","band",2009-05-21,2009,2009
